type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
vae,ltx-2.3-22b-dev-fp8.safetensors,6,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX 2.3图生视频_文生视频工作流.json; LTX-2.3配音术升级版：输入台词就能生成短剧！FishAudio+S2+++LTX-2.3实战.json; ltx单采(1).json
vae,Wan\Wan2_1_VAE_bf16.safetensors,5,WanVideoVAELoader; VAELoaderKJ,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,11111(1).json; scail+增加晃动lora+跳舞更诱人+自带提示词.json; Scail单_双人动作迁移自由切换高配.json
vae,Qwen\qwen_image_vae.safetensors,5,VAELoader,"iGEN ONE (ZImage, Ernie, FLUX1/2, Qwen, HiDream, Nunchaku)",2572843,,https://civitai.com/api/download/models/2914452,https://civitai.com/models/2572843,2511-合集版12.27(1).json; Qwen2509遮罩局部重绘-完毕.json; Qwen2511单图编辑不偏移-多图编辑-遮罩重绘-节点后置(1).json
vae,QWEN\qwen_image_vae.safetensors,4,VAELoader,"iGEN ONE (ZImage, Ernie, FLUX1/2, Qwen, HiDream, Nunchaku)",2572843,,https://civitai.com/api/download/models/2914452,https://civitai.com/models/2572843,08.FireRed-Image-Edit合集(1).json; Qwen2511三图编辑二次采样+SeedVR2高清.json; ▶Klein单图编辑-服装提取.json
vae,wan2.1\wan_2.1_vae.safetensors,4,VAELoader,Wan Vace 2.1 Flow Archive,2570937,,https://civitai.com/api/download/models/2917676,https://civitai.com/models/2570937,1.Wan_2.2REMIX V2 NSFW 图生视频.json; 2.Wan2.2_REMIX V2 NSFW 首尾帧视频.json; 3.Wan2.2_REMIX V2 首-中-尾三帧视频.json
vae,ltx-2-19b-dev-fp8.safetensors,4,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2+文生视频低显存版(1).json; ltx-video-and-audio-extend.json; LTX2.0文生视频.json
vae,FLUX1\ae.safetensors,3,VAELoader,Kojika Kumari - Mahou Tsukai no Yoru,2599176,,https://civitai.com/api/download/models/2919694,https://civitai.com/models/2599176,DyPE-Flux-Nunchaku-workflow.json; DyPE-Flux-workflow.json; DyPE-ZIT-workflow.json
vae,Wan2_1_VAE_fp32.safetensors,3,WanVideoVAELoader,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,DZQY+__260324_113311_00001-audio(1).json; Wan2.2+Animate动作迁移V7（自动尺寸）(1).json; 【AI小兵哥】Wan2_2_Animate_自动去Sora2视频水印工作流(1).json
vae,z_image_vae.safetensors,3,VAELoader,Eldritch Ink Art for Z-Image,2597137,,https://civitai.com/api/download/models/2917439,https://civitai.com/models/2597137,kook-zimage-真实幻想-人物LORA生效工作流.json; KOOK_Qwen_2512+Zimage_真实人像.json; ZIT_Luneva_WF_v2.2_无限细节增强工作流.json
vae,z\ae.safetensors,3,VAELoader,Kojika Kumari - Mahou Tsukai no Yoru,2599176,,https://civitai.com/api/download/models/2919694,https://civitai.com/models/2599176,wdddd(1).json; wdddd(1).json; wdddd(2).json
vae,z\z_image_vae.safetensors,3,VAELoader,Eldritch Ink Art for Z-Image,2597137,,https://civitai.com/api/download/models/2917439,https://civitai.com/models/2597137,wdddd(2).json; 实验1.json; 实验1.json
vae,zImageTurboVAE_v10.safetensors,3,VAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,【尺素】人物美学Z三采可视化sigam工作流 (1).json; 【尺素】人物美学Z双采可视化sigam工作流(1).json; 【尺素】人物美学Z双采可视化sigam工作流(1).json
vae,UltraFlux-v1_model.safetensors,3,VAELoader,UltraFlux VAE | improved quality for flux and zimage,2231253,,https://civitai.com/api/download/models/2511862,https://civitai.com/models/2231253,【楚心钟陌】Qwen2511娃娃流 法外狂徒整理后(1).json; 【楚心钟陌】全新参数！Qwen2511lora串串+Zi二次元转真人+高清放大洗图 (1).json; 动漫转真人1.json
vae,10Eros_v1-fp8mixed_learned.safetensors,2,LTXVAudioVAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,10Eros_10SNodes_TripleSample_Custom-Audio-Music-Video(1).json; 10Eros_10SNodes_TripleSample_I2V(1).json
vae,ltx-2.3-22b-distilled-fp8.safetensors,2,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2.3-图-文-生视频(1).json; 首尾 OLLAMA 工作流 完美版.json
vae,sulphur_dev_fp8mixed.safetensors,2,LTXVAudioVAELoader,[Illustrious]マジアサルファ(天川薫子)[tenkawa kaoruko(magia sulphur)]-魔法少女にあこがれて(mahou shoujo ni akogarete),1039577,,https://civitai.com/api/download/models/1166216,https://civitai.com/models/1039577,ltx23_i2v_sulphur2.json; 【LTX2.3】i2v_sulphur(1).json
vae,ltx2\LTX23_video_vae_bf16.safetensors,2,VAELoader,LTX2.3 All in one - ID LoRA + ControlNet + Detailer + Upscaler + Custom Audio + Keyframes,2553704,,https://civitai.com/api/download/models/2869945,https://civitai.com/models/2553704,ltx2_3_i2v(1).json; ltx2_3_i2v.json
vae,wan_2.1_vae_Comfy-Org.safetensors,2,VAELoader,Wan Vace 2.1 Flow Archive,2570937,,https://civitai.com/api/download/models/2917676,https://civitai.com/models/2570937,Qwen-Image多LoRA文生图+面部细化+洗图+高清放大工作流V2(1).json; SVI+2.0+Pro+for+Wan+2.2长视频一镜到底！(1).json
vae,ltx-2.3-20b-dev.safetensors,2,LTXVAudioVAELoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,video_ltx2_3_i2v.json; video_ltx2_3_t2v.json
vae,wan_2.1_vae_fp32.safetensors,2,WanVideoVAELoader,Wan Vace 2.1 Flow Archive,2570937,,https://civitai.com/api/download/models/2917676,https://civitai.com/models/2570937,Wan_Animate视频换人&姿势迁移没骨骼(1).json; Wan_Animate视频换人&姿势迁移骨骼(1).json
vae,Wan2.1\Wan2.1_VAE_bf16.safetensors,2,WanVideoVAELoader,Wan 2.2 image to video,2572452,,https://civitai.com/api/download/models/2890303,https://civitai.com/models/2572452,WF-uni3c参考视频运镜-图生视频Rev.json; WF-Wan2.1&2.2-uni3c参考视频运镜-图生视频Rev(1).json
vae,UltraFlux-vae_v1.safetensors,2,VAELoader,UltraFlux VAE | improved quality for flux and zimage,2231253,,https://civitai.com/api/download/models/2511862,https://civitai.com/models/2231253,▶Zimage-4K洗图+CN2.1控制.json; 【尺素】人物美学Z三采可视化sigam工作流 (1).json
vae,FLUX\ae.safetensors,2,VAELoader,Kojika Kumari - Mahou Tsukai no Yoru,2599176,,https://civitai.com/api/download/models/2919694,https://civitai.com/models/2599176,三采样-Aiden-zimageT+B+fluxklein采样.json; 三采样-Aiden-zimageT+B+fluxklein采样.json
vae,ultrafluxVAEImproved_v10.safetensors,2,VAELoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,三采样转真人(1).json; 三采样转真人1.json
